Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
1,nom,350e-9,0,0,0,,-5.245e-15,-5.245e-15,6.377e-15,-1.88e-15,-1.132e-15,1.132e-15,4.145e-15,-1.132e-15,1.132e-15,6.377e-15,5.259e-12,0,0,-0,564.6e-3,0,0,0,87.18e-33,0,350e-9
2,nom,350e-9,0,0,100e-3,,-5.245e-15,-5.245e-15,6.415e-15,-1.768e-15,-1.17e-15,1.17e-15,4.109e-15,-1.17e-15,1.17e-15,6.415e-15,118.4e-12,0,0,-0,564.6e-3,0,0,100e-3,1.962e-30,0,350e-9
3,nom,350e-9,0,0,200e-3,,-5.245e-15,-5.245e-15,6.436e-15,-1.674e-15,-1.191e-15,1.191e-15,4.055e-15,-1.191e-15,1.191e-15,6.436e-15,2.648e-9,0,0,-0,564.6e-3,0,0,200e-3,43.9e-30,0,350e-9
4,nom,350e-9,0,0,300e-3,,-5.245e-15,-5.245e-15,6.448e-15,-1.593e-15,-1.202e-15,1.201e-15,3.996e-15,-1.201e-15,1.201e-15,6.447e-15,57.67e-9,0,0,-0,564.6e-3,0,0,300e-3,955.9e-30,0,350e-9
5,nom,350e-9,0,0,400e-3,,-5.25e-15,-5.247e-15,6.495e-15,-1.515e-15,-1.226e-15,1.205e-15,3.964e-15,-1.222e-15,1.205e-15,6.49e-15,1.119e-6,0,0,-0,564.6e-3,0,0,400e-3,18.55e-27,0,350e-9
6,nom,350e-9,0,0,500e-3,,-5.349e-15,-5.286e-15,7.296e-15,-1.302e-15,-1.602e-15,1.208e-15,4.468e-15,-1.565e-15,1.208e-15,7.214e-15,14.9e-6,0,0,-0,564.6e-3,0,0,500e-3,246.8e-27,0,350e-9
7,nom,350e-9,0,0,600e-3,,-5.896e-15,-5.717e-15,10.61e-15,-404.2e-18,-3.153e-15,1.209e-15,7.619e-15,-4.061e-15,1.209e-15,10.89e-15,93.66e-6,0,0,-0,564.6e-3,0,0,600e-3,1.548e-24,0,350e-9
8,nom,350e-9,0,0,700e-3,,-6.095e-15,-5.823e-15,12.09e-15,-80.81e-18,-3.844e-15,1.21e-15,8.796e-15,-4.871e-15,1.21e-15,12.33e-15,261.1e-6,0,0,-0,564.6e-3,0,0,700e-3,4.296e-24,0,350e-9
9,nom,350e-9,0,0,800e-3,,-6.107e-15,-5.758e-15,12.53e-15,-58.75e-18,-4.053e-15,1.211e-15,8.862e-15,-4.75e-15,1.211e-15,12.54e-15,456.6e-6,0,0,-0,564.6e-3,0,0,800e-3,7.473e-24,0,350e-9
10,nom,350e-9,0,0,900e-3,,-6.107e-15,-5.72e-15,12.74e-15,-54.89e-18,-4.148e-15,1.211e-15,8.863e-15,-4.66e-15,1.211e-15,12.61e-15,648.2e-6,0,0,-0,564.6e-3,0,0,900e-3,10.55e-24,0,350e-9
11,nom,350e-9,0,0,1,,-6.107e-15,-5.697e-15,12.85e-15,-52.3e-18,-4.202e-15,1.211e-15,8.86e-15,-4.606e-15,1.211e-15,12.64e-15,830.8e-6,56.11e-21,10.29e-21,-0,564.6e-3,0,0,1,13.46e-24,0,350e-9
12,nom,350e-9,0,0,1.1,,-6.107e-15,-5.683e-15,12.93e-15,-50.15e-18,-4.237e-15,1.211e-15,8.858e-15,-4.571e-15,1.211e-15,12.67e-15,1.004e-3,0,0,-0,564.6e-3,0,0,1.1,16.19e-24,0,350e-9
13,nom,350e-9,0,0,1.2,,-6.107e-15,-5.673e-15,12.98e-15,-48.32e-18,-4.261e-15,1.211e-15,8.856e-15,-4.547e-15,1.211e-15,12.69e-15,1.169e-3,0,0,-0,564.6e-3,0,0,1.2,18.76e-24,0,350e-9
14,nom,350e-9,0,0,1.3,,-6.107e-15,-5.665e-15,13.02e-15,-46.76e-18,-4.279e-15,1.211e-15,8.855e-15,-4.529e-15,1.211e-15,12.7e-15,1.325e-3,0,0,-0,564.6e-3,0,0,1.3,21.18e-24,0,350e-9
