Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
1,nom,350e-9,0,0,0,,-8.125e-15,-8.125e-15,9.015e-15,-2.476e-15,-890.5e-18,890.3e-18,4.257e-15,-890.3e-18,890.3e-18,9.015e-15,87.82e-15,0,0,0,-730.6e-3,-0,0,-0,1.456e-33,0,350e-9
2,nom,350e-9,0,0,100e-3,,-8.125e-15,-8.125e-15,9.047e-15,-2.309e-15,-922.4e-18,922.3e-18,4.154e-15,-922.3e-18,922.3e-18,9.047e-15,1.457e-12,0,0,0,-730.6e-3,-0,0,-100e-3,24.16e-33,0,350e-9
3,nom,350e-9,0,0,200e-3,,-8.125e-15,-8.125e-15,9.065e-15,-2.172e-15,-939.6e-18,939.5e-18,4.051e-15,-939.5e-18,939.5e-18,9.065e-15,24.17e-12,0,0,0,-730.6e-3,-0,0,-200e-3,400.6e-33,0,350e-9
4,nom,350e-9,0,0,300e-3,,-8.125e-15,-8.125e-15,9.073e-15,-2.057e-15,-948e-18,947.9e-18,3.953e-15,-947.9e-18,947.9e-18,9.073e-15,399.3e-12,0,0,0,-730.6e-3,-0,0,-300e-3,6.619e-30,0,350e-9
5,nom,350e-9,0,0,400e-3,,-8.125e-15,-8.125e-15,9.078e-15,-1.958e-15,-952.1e-18,951.9e-18,3.863e-15,-952.4e-18,951.9e-18,9.078e-15,6.506e-9,0,0,0,-730.6e-3,-0,0,-400e-3,107.8e-30,0,350e-9
6,nom,350e-9,0,0,500e-3,,-8.126e-15,-8.126e-15,9.09e-15,-1.871e-15,-955.5e-18,954e-18,3.788e-15,-961.9e-18,954e-18,9.092e-15,100.3e-9,0,0,0,-730.6e-3,-0,0,-500e-3,1.663e-27,0,350e-9
7,nom,350e-9,0,0,600e-3,,-8.145e-15,-8.139e-15,9.256e-15,-1.769e-15,-982e-18,955.2e-18,3.83e-15,-1.079e-15,955.2e-18,9.292e-15,1.284e-6,0,0,0,-730.6e-3,-0,0,-600e-3,21.28e-27,0,350e-9
8,nom,350e-9,0,0,700e-3,,-8.356e-15,-8.254e-15,10.99e-15,-1.394e-15,-1.619e-15,955.9e-18,5.121e-15,-2.108e-15,955.9e-18,11.05e-15,10.35e-6,0,0,0,-730.6e-3,-0,0,-700e-3,171.4e-27,0,350e-9
9,nom,350e-9,0,0,800e-3,,-8.792e-15,-8.391e-15,14.14e-15,-711.5e-18,-3.87e-15,956.3e-18,7.971e-15,-3.39e-15,956.3e-18,13.27e-15,41.06e-6,0,0,0,-730.6e-3,-0,0,-800e-3,679.1e-27,0,350e-9
10,nom,350e-9,0,0,900e-3,,-8.877e-15,-8.432e-15,14.83e-15,-577.3e-18,-4.209e-15,956.6e-18,8.544e-15,-3.758e-15,956.6e-18,13.91e-15,89.4e-6,0,0,0,-730.6e-3,-0,0,-900e-3,1.475e-24,0,350e-9
11,nom,350e-9,0,0,1,,-8.883e-15,-8.448e-15,14.93e-15,-566e-18,-4.126e-15,956.7e-18,8.581e-15,-3.889e-15,956.7e-18,14.13e-15,141.3e-6,0,0,0,-730.6e-3,-0,0,-1,2.325e-24,0,350e-9
12,nom,350e-9,0,0,1.1,,-8.883e-15,-8.455e-15,14.97e-15,-563.3e-18,-4.064e-15,956.9e-18,8.581e-15,-3.954e-15,956.9e-18,14.23e-15,191.4e-6,0,0,0,-730.6e-3,-0,0,-1.1,3.142e-24,0,350e-9
13,nom,350e-9,0,0,1.2,,-8.883e-15,-8.46e-15,14.99e-15,-561.4e-18,-4.026e-15,957e-18,8.58e-15,-3.993e-15,957e-18,14.3e-15,239.1e-6,0,0,0,-730.6e-3,-0,0,-1.2,3.915e-24,0,350e-9
14,nom,350e-9,0,0,1.3,,-8.883e-15,-8.463e-15,15.01e-15,-559.9e-18,-4e-15,957e-18,8.578e-15,-4.018e-15,957e-18,14.34e-15,284.4e-6,0,0,0,-730.6e-3,-0,0,-1.3,4.646e-24,0,350e-9
15,nom,350e-9,0,0,1.4,,-8.883e-15,-8.465e-15,15.02e-15,-558.5e-18,-3.982e-15,957.1e-18,8.577e-15,-4.036e-15,957.1e-18,14.37e-15,327.5e-6,0,0,0,-730.6e-3,-0,0,-1.4,5.338e-24,0,350e-9
16,nom,350e-9,0,0,1.5,,-8.883e-15,-8.467e-15,15.03e-15,-557.4e-18,-3.968e-15,957.1e-18,8.575e-15,-4.05e-15,957.1e-18,14.4e-15,368.4e-6,0,0,0,-730.6e-3,-0,0,-1.5,5.993e-24,0,350e-9
17,nom,350e-9,0,0,1.6,,-8.883e-15,-8.468e-15,15.03e-15,-556.4e-18,-3.957e-15,957.2e-18,8.574e-15,-4.06e-15,957.2e-18,14.41e-15,407.3e-6,0,0,0,-730.6e-3,-0,0,-1.6,6.612e-24,0,350e-9
18,nom,350e-9,0,0,1.7,,-8.883e-15,-8.469e-15,15.04e-15,-555.6e-18,-3.949e-15,957.2e-18,8.573e-15,-4.069e-15,957.2e-18,14.43e-15,444.2e-6,0,0,0,-730.6e-3,-0,0,-1.7,7.197e-24,0,350e-9
19,nom,350e-9,0,0,1.8,,-8.883e-15,-8.47e-15,15.04e-15,-554.9e-18,-3.942e-15,957.2e-18,8.572e-15,-4.076e-15,957.2e-18,14.44e-15,479.2e-6,0,0,0,-730.6e-3,-0,0,-1.8,7.75e-24,0,350e-9
20,nom,350e-9,0,0,1.9,,-8.883e-15,-8.47e-15,15.04e-15,-554.2e-18,-3.936e-15,957.2e-18,8.572e-15,-4.081e-15,957.2e-18,14.45e-15,512.4e-6,0,0,0,-730.6e-3,-0,0,-1.9,8.273e-24,0,350e-9
21,nom,350e-9,0,0,2,,-8.883e-15,-8.471e-15,15.05e-15,-553.6e-18,-3.931e-15,957.2e-18,8.571e-15,-4.086e-15,957.2e-18,14.46e-15,543.8e-6,0,0,0,-730.6e-3,-0,0,-2,8.766e-24,0,350e-9
22,nom,350e-9,0,0,2.1,,-8.883e-15,-8.472e-15,15.05e-15,-553.1e-18,-3.927e-15,957.2e-18,8.57e-15,-4.09e-15,957.2e-18,14.46e-15,573.5e-6,0,0,0,-730.6e-3,-0,0,-2.1,9.231e-24,0,350e-9
23,nom,350e-9,0,0,2.2,,-8.883e-15,-8.472e-15,15.05e-15,-552.7e-18,-3.923e-15,957.2e-18,8.57e-15,-4.094e-15,957.2e-18,14.47e-15,601.6e-6,0,0,0,-730.6e-3,-0,0,-2.2,9.67e-24,0,350e-9
24,nom,350e-9,0,0,2.3,,-8.883e-15,-8.472e-15,15.05e-15,-552.3e-18,-3.92e-15,957.3e-18,8.569e-15,-4.097e-15,957.3e-18,14.47e-15,628.2e-6,0,0,0,-730.6e-3,-0,0,-2.3,10.08e-24,0,350e-9
25,nom,350e-9,0,0,2.4,,-8.883e-15,-8.473e-15,15.05e-15,-551.9e-18,-3.917e-15,957.3e-18,8.569e-15,-4.1e-15,957.3e-18,14.48e-15,653.2e-6,0,0,0,-730.6e-3,-0,0,-2.4,10.47e-24,0,350e-9
26,nom,350e-9,0,0,2.5,,-8.883e-15,-8.473e-15,15.06e-15,-551.6e-18,-3.915e-15,957.3e-18,8.568e-15,-4.102e-15,957.3e-18,14.48e-15,676.9e-6,0,0,0,-730.6e-3,-0,0,-2.5,10.84e-24,0,350e-9
27,nom,350e-9,0,0,2.6,,-8.883e-15,-8.473e-15,15.06e-15,-551.3e-18,-3.913e-15,957.3e-18,8.568e-15,-4.104e-15,957.3e-18,14.49e-15,699.2e-6,0,0,0,-730.6e-3,-0,0,-2.6,11.18e-24,0,350e-9
28,nom,350e-9,0,0,2.7,,-8.883e-15,-8.473e-15,15.06e-15,-551e-18,-3.91e-15,957.3e-18,8.568e-15,-4.106e-15,957.3e-18,14.49e-15,720.2e-6,0,0,0,-730.6e-3,-0,0,-2.7,11.51e-24,0,350e-9
29,nom,350e-9,0,100e-3,0,,-7.742e-15,-8.125e-15,8.586e-15,-2.476e-15,-844.5e-18,844.5e-18,4.211e-15,-890.5e-18,890.3e-18,9.015e-15,4.32e-15,74.89e-15,20.33e-15,-2.673e-15,-728.2e-3,-0,-100e-3,-0,1.1e-33,4.505e-39,350e-9
30,nom,350e-9,0,100e-3,100e-3,,-7.742e-15,-8.125e-15,8.632e-15,-2.309e-15,-890.3e-18,890.3e-18,4.122e-15,-922.4e-18,922.3e-18,9.047e-15,69.73e-15,1.238e-12,327.2e-15,-44.13e-15,-728.2e-3,-0,-100e-3,-100e-3,18.07e-33,1.231e-36,350e-9
31,nom,350e-9,0,100e-3,200e-3,,-7.742e-15,-8.125e-15,8.664e-15,-2.172e-15,-922.3e-18,922.3e-18,4.034e-15,-939.6e-18,939.5e-18,9.065e-15,1.124e-12,20.44e-12,5.256e-12,-728.9e-15,-728.2e-3,-0,-100e-3,-200e-3,296.3e-33,336e-36,350e-9
